12/17　00：00時点,数,割合
,,
全回答数,74,
今回の勉強会に申し込みましたか？,,
はい、申し込みました,55,74.32%
いいえ、申し込みませんでした,19,25.68%
,,
はい、申し込みましたを選んだ方は、勉強会に参加した1番の理由を教えてください。,57,
副業に興味があったから,19,33.33%
デザインに興味があったから,9,15.79%
SNSの仕事に興味があるけど何をしたらいいのか分からなかったから,8,14.04%
今の仕事の収入が低くて生活に余裕がなかったから,6,10.53%
将来に対して不安があったから,5,8.77%
講師・主催者に興味があった,3,5.26%
自分で発信してみたいけど何を学んだらいいか分からなかったから,3,5.26%
無料 / 特典が魅力的だった,2,3.51%
"その他：以前からデザインに興味がありました。
今はAIを使って実現出来ると思い、今後仕事にしていきたいです。",1,1.75%
その他：子供たちが、来年の春に高校入学と中学入学でお金が必要な為に副業で稼ごうと思いました。,1,1.75%
,,
,,
いいえ、申し込みませんでしたを選んだ方は、勉強会に参加しなかった1番の理由を教えてください。,21,
料金が気になって参加を迷った,5,23.81%
今の生活や仕事が忙しく、時間が作れなかった,4,19.05%
副業に興味はあるが、まず何から始めればいいか分からなかった,3,14.29%
他で学んでいるものがあり、優先度が下がった,1,4.76%
将来への不安はあるが、今は行動する余力がなかった,1,4.76%
その他：ほかの優先順位の高いことと時間が丸かぶりしたため。,1,4.76%
その他：GramHackに入会しているため。,1,4.76%
その他：チェックしておりませんでした,1,4.76%
その他：前回２回連続で申し込みしたので今回しませんでした,1,4.76%
その他：今まで何度か参加させて頂きましたが、払込方法が選択制でなく諦めざるおえない状況でした。勉強会に参加出来ても最終的に払込が出来ないとなると、二の足を踏んでしまいます。,1,4.76%
その他：以前、１週間のブートキャンプに参加させて頂きました。,1,4.76%
その他：パソコンの購入が間に合わなかったから。最新のパソコンが欲しくて年明けセールを狙っています！,1,4.76%
,,
,,
今回の勉強会で改善した方がいい点があれば教えてください。,,
時間帯,4,
これは私自身の事なのですが外枠だけ理解して中身が理解してないので高レベルに追いついてない。,,
GramHackでも集中講座的なのをして欲しい。,,
仕方ないかもしれないが、スクールの必要性を押すばかりで肝心の内容があまり分からなかった,,
実際に仕事を開始している人の生の声をお聞きしたかったです。,,
"講座を受講した人限定で、後で見返せるように
アーカイブ残してほしいです。",,
初期費用が高いため敷居が高いと感じた。最初の1〜3ヶ月は月謝制で副業適性を確認する機会があればお試ししたと思う。,,
連絡、回答が遅い,,
良かったですが3日間でどんな事を学べるかもう少し詳しく説明してもらえると良かったです。,,
受講生が対象ではなかったと最後のお知らせまで理解しておりませんでした😅当方の認識不足だと思います,,
ソフトを使いこなしたい,,
全体の満足度は高かったです。強いていうなら、実践者の事例やリアル体験談がその場で聞けるとより説得力があるかなと思いました。,,
ほんの気持ちゆっくりしゃべってくれると嬉しいです　たまーに聞き取れない？聞き逃してしまうので。。。,,
もっと基礎から学びたかった,,
もっと高度な内容を学びたい。,,
銀行振込での払い込みがあると有難いです。,,
もっとノウハウ的なところを聞きたかったです,,
少しペースが速いと感じました,,
早めに告知を,,
毎日の説明会を同じ定員申込者数にして、同じ日の説明会の定員競争は仕方がないけど、3日の説明会はもう申込み枠はありませんをなくして欲しいです,,
顔なしOKのしても良いのではとも少し感じました,,
"進行が早い気がしました。また、どのような仕組みで収益があるのか、具体的に教えていただけるとよかった。
",,
やはり、講座誘導がほとんどで、内容はユーチューブで見たことある内容でした。,,
自分のことで精一杯でよくわかりません。,,
次回このような機会がまたあったら是非参加したいです。今回は他の予定があり参加できませんでした。,,
"Canva基本操作の動画を講義受講前日に配信してほしいです。
当日配信ではCanva操作するのに時間がかかり課題提出まで1日費やしてしまう可能性があるのでなるべく前日にCanvaの操作をある程度おばえておいたほうが課題に集中できます。",,
改善とかではないのですが、私がオンラインのミーティングが苦手なのです。すいません。,,
,,
,,
ブートキャンプを購入しましたか？,74,
はい、購入しました,33,44.59%
いいえ、購入しませんでした,41,55.41%
,,
,,
はい、購入しましたを選んだ方は、ブートキャンプを購入した1番の理由を教えてください。,35,
副業スキルを身につけて収入を増やしたいと思った,13,37.14%
SNSの仕事をできるようになりたいと思った,6,17.14%
今の自分を変えるために本気で学ぶ必要があると感じた,6,17.14%
デザインスキルに興味があり、しっかり学びたいと感じた,5,14.29%
将来の不安をなくすためにスキルをつけたいと思った,2,5.71%
このまま何も変わらないことのほうが不安だった,1,2.86%
サポート体制や講師を信頼できた,1,2.86%
その他：仕事にしていきたいです。,1,2.86%
,,
,,
いいえ、購入しませんでしたを選んだ方は、ブートキャンプを購入しなかった1番の理由を教えてください,43,
今の仕事や生活が忙しく、取り組める自信がなかった,11,25.58%
料金に対する価値をまだイメージできなかった,6,13.95%
副業には興味があるが、まずは情報収集から始めたいと思った,5,11.63%
SNSやデザインに興味はあるが、やりきれるか不安だった,3,6.98%
将来に不安はあるが、まだ行動に踏み切れない,2,4.65%
他の講座やサービスと比較して迷っている,2,4.65%
その他：GramHackに入会しているため。,3,6.98%
その他：タイミングが悪かった,2,4.65%
その他：無職で97万円の講座代を支払うのは失敗したときのリスク回避のために受講申込を見送りました。,1,2.33%
その他：申し込みしたかったけど受講費が出ないのでしませんでした,1,2.33%
その他：デザインやSNSに興味がありますが、自分はこだわりが強いので短期でこなせる自身がなかったです。,1,2.33%
その他：クレジットカードを持っていないため今回の申し込みは見送り致しました。,1,2.33%
その他：銀行振込が出来ない。,1,2.33%
その他：日程が合わなかった,1,2.33%
その他：直ぐに手を使って作成出来ると思ったが、皆同じデザインにならないか少し心配になった,1,2.33%
その他：以前、ブートキャンプに参加した事があります。,1,2.33%
その他：家族・パートナーに相談してから決めたい,1,2.33%
,,
,,
いいえ、購入しませんでしたを選んだ方は 、 どんな内容なら参加してみたいと思いますか？,,
時間帯,,
"案件について、どのレベルでどんな案件がいくらくらいでいただけるのかを知ることができたらイメージがしやすかったです。

さきさんのお人柄は素晴らしい方だなぁと感じました。
ありがとうございました！",,
さきさんのは内容に文句はありません。あとは自分の行動につなげる勇気だけなのです,,
GramHackでの集中講座,,
ある程度の期間があって、動画を見ながら自分のペースで学習できる内容。,,
フードコーディネーター資格の資料請求をして関連する食関連講座と投稿を時短する方法を学べる講座なら目標・目的に合ってたから前向きに検討した。,,
体調不良や時間にゆとりがなかったのですが、次回日程など合えば購入したいです。,,
購入後の内容がはっきりわからなかった,,
講座の内容や価格は良心的で文句なし。後は私のタイミングの問題です。,,
案件応募で超初心者でも案件獲得しやすいポートフォリオの作り方レクチャーなど,,
受講して収益の中から受講費を支払う事が可能なら受けたい,,
サキさんのお人柄とわかりやすい発信が好きです。また機会があったら参加してみたいです。,,
やはり参加したいです。今を変えたいです。,,
購入価格が自分に見合う範囲なら。,,
銀行振込などの払い込みの選択肢があれば、購入しました。,,
期間が合わなかっただけで、内容は魅力的でした！,,
ノウハウの充実,,
具体的な詳細が分かれば,,
数通りのやり方　バラエティ　,,
一万円を切るなら継続して参加出来るかな、サブスクでやって欲しい,,
インスタグラムの勢いとか,,
AIを駆使したデザインも知りたいです。,,